Year;"Sort
order";Major area, region, country or area of destination;Notes;Code;Type of data (a);Country or area of origin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Total;Other North;Other South;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Caribbean Netherlands;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong SAR;China, Macao SAR;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Curaçao;Cyprus;Czechia;Dem. People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Fed. States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;Réunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;TFYR Macedonia;Thailand;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
1990;1990001;WORLD;;900;;75.086.026;1.083.738;3.020.492;3.063.134;70.434;393.787;992;2.023;412.546;978;11.935;226.634;462.799;5.855;162.821;271.227;866.877;14.550;6.700;2.288.816;44.765;952.219;208.186;21.024;106.843;37.000;14.503;109.230;435.204;6.810;273.887;1.754;10.718;314.810;447.016;163.175;48.876;180.194;55.528;630.594;2.160;181;22.094;168.760;9.972;243.223;2.031.519;279.068;47.166;550.599;18.018;43.101;9.111;40.459;182.859;211.748;436.429;20.604;83.634;147.122;19.821;202.299;110.317;2.405;23.094;266.696;108.178;498.929;633.375;18.032;80.993;59.599;832.800;4.532;119;46.531;148.810;630.645;1.595;1.554;7.547;15.436;473.892;1.774.164;184.766;6.323;498.720;5.736;23.646;3.238;682;170.503;151.120;27.929;122.884;232.945;18;89.659;195.114;9.002;2.861.761;684.791;268.480;651.741;504.262;5.637;141.129;1.637.371;320.679;307.450;126.493;1.545.409;123.583;2.116;36.321;269.959;245.209;115.210;215.700;45.903;256.191;36.086;1.982;188.467;14.094;33.248;49.536;285.993;494;287.040;54.242;720;5.432;59.237;57.708;849;2.036.814;3.779;2.194;12.525;39.186;3.822;685.568;1.017.090;309.192;6.706;786;358.759;365.473;2.223;191.940;222.254;47.952;191.713;3.028;1.321;78.647;6.084;1.371.354;1.589;68.149;1.506;166.307;163.715;1.194.730;816.096;911.647;625.969;6.176;809.332;335.147;1.516;436.061;7.142.602;272.288;498;11.180;11.953;245;19.143;38.259;846;7.216;49.329;139.046;333.427;15.343;29.571;81.775;7.037;67.351;51.585;1.078;398.828;167.626;248.149;758.378;426.845;924.755;250.358;92.166;9.593;119.111;179.321;265.915;272.536;213.565;186.741;5.340;98.209;848;16.469;109.919;180.074;1.222.399;132.543;1.305;1.147;153.682;2.912.625;34.846;1.918.685;96.539;868.076;1.187;120.882;743.173;2.414;102.846;600.184;2.820;75.584;165.163;42.160;86.226
1990;1990002;More developed regions;b;901;;42.121.221;572.738;1.585.626;49.655;69.410;365.653;522;2.002;86.672;260;7.965;121.628;333.028;2.620;135.773;253.478;541.071;13.630;778;67.755;42.157;845.537;194.460;18.894;6.112;36.927;164;21.801;431.834;1.319;168.287;74;3.282;59.682;2.676;1.840;43.293;122.015;25.271;601.086;1.406;128;4.419;1.431;9.905;100.402;735.320;262.012;7.456;207.035;9.648;26.063;9.083;28.549;24.757;209.974;406.322;19.058;78.152;142.300;7.222;27.949;106.586;1.621;12.398;220.387;83.970;109.842;250.316;3.971;12.666;57.491;57.412;4.530;107;44.292;146.578;473.383;32;187;4.386;4.043;410.359;1.349.139;53.149;6.287;419.919;5.410;13.033;81;21;119.376;6.102;6.514;108.875;148.700;5;65.942;180.316;8.956;596.219;157.827;215.635;59.338;499.839;5.637;79.370;1.367.026;312.560;225.793;21.487;1.466.602;75.653;545;7.868;248.554;124.629;107.274;161.080;185;8.234;11.116;1.916;171.774;13.858;24.892;5.574;96.036;140;17.915;54.098;569;158;3.856;53.907;..;2.012.608;1.412;2.036;12.446;39.062;2.761;593.667;41.037;22.850;659;248;2.667;333.139;732;183.857;93.320;1.306;58.532;3.009;138;74.829;297;185.921;6;46.084;879;8.554;125.529;837.291;714.605;725.545;615.648;427;696.822;303.770;61;353.216;4.283.957;3.188;256;5.364;5.515;222;9.003;30.900;839;3.103;12.625;35.913;331.450;15.155;8.329;48.405;6.800;67.096;50.519;585;31.880;116.030;1;494.198;111.292;16.724;5.585;82.862;281;114.379;161.431;49.878;242.004;188.081;133.317;5.078;7.870;768;15.229;102.247;155.209;1.180.941;126.580;114;621;34.725;2.428.585;2.385;1.749.490;29.722;450.822;31;30.072;557.513;556;66.170;526.613;141;68;4.157;13.026;21.239
1990;1990003;Less developed regions;c;902;;32.964.805;511.000;1.434.866;3.013.479;1.024;28.134;470;21;325.874;718;3.970;105.006;129.771;3.235;27.048;17.749;325.806;920;5.922;2.221.061;2.608;106.682;13.726;2.130;100.731;73;14.339;87.429;3.370;5.491;105.600;1.680;7.436;255.128;444.340;161.335;5.583;58.179;30.257;29.508;754;53;17.675;167.329;67;142.821;1.296.199;17.056;39.710;343.564;8.370;17.038;28;11.910;158.102;1.774;30.107;1.546;5.482;4.822;12.599;174.350;3.731;784;10.696;46.309;24.208;389.087;383.059;14.061;68.327;2.108;775.388;2;12;2.239;2.232;157.262;1.563;1.367;3.161;11.393;63.533;425.025;131.617;36;78.801;326;10.613;3.157;661;51.127;145.018;21.415;14.009;84.245;13;23.717;14.798;46;2.265.542;526.964;52.845;592.403;4.423;..;61.759;270.345;8.119;81.657;105.006;78.807;47.930;1.571;28.453;21.405;120.580;7.936;54.620;45.718;247.957;24.970;66;16.693;236;8.356;43.962;189.957;354;269.125;144;151;5.274;55.381;3.801;849;24.206;2.367;158;79;124;1.061;91.901;976.053;286.342;6.047;538;356.092;32.334;1.491;8.083;128.934;46.646;133.181;19;1.183;3.818;5.787;1.185.433;1.583;22.065;627;157.753;38.186;357.439;101.491;186.102;10.321;5.749;112.510;31.377;1.455;82.845;2.858.645;269.100;242;5.816;6.438;23;10.140;7.359;7;4.113;36.704;103.133;1.977;188;21.242;33.370;237;255;1.066;493;366.948;51.596;248.148;264.180;315.553;908.031;244.773;9.304;9.312;4.732;17.890;216.037;30.532;25.484;53.424;262;90.339;80;1.240;7.672;24.865;41.458;5.963;1.191;526;118.957;484.040;32.461;169.195;66.817;417.254;1.156;90.810;185.660;1.858;36.676;73.571;2.679;75.516;161.006;29.134;64.987
1990;1990004;Least developed countries;d;941;;5.516.710;109.006;260.135;..;..;3.113;..;..;305.380;..;..;230;..;..;656;35;..;..;40;761;..;..;471;..;20.173;..;8.740;..;..;374;788;..;..;..;19.149;160.291;5.419;6.646;15.467;901;..;..;12.633;103.945;..;119;116.112;23;..;407;3.772;12.382;..;168;154.251;..;606;..;2;..;19;129.634;86;429;..;1.061;..;14.478;..;203;64.537;..;718.459;..;..;345;..;18.492;..;..;2.458;6.388;..;2.216;34.991;..;20;..;..;..;..;..;82.747;20.697;..;..;..;..;..;..;304.393;34.900;..;2.244;1;..;..;706;..;4.406;..;..;41.691;571;20;..;27.066;..;2.939;1.962;238.230;1.774;..;..;..;5.803;11.026;42.652;..;65.722;..;..;..;51.968;43;..;175;..;..;..;..;..;1.933;643.778;119.906;1.397;522;4.572;255;164;216;..;17.150;57.265;..;..;1.950;..;6.970;..;..;568;..;143;342;..;5.033;843;..;185;..;450;..;699;265.642;..;..;..;..;..;3;..;1.560;1.094;91.323;..;85;19.860;4.905;..;..;7;44;356.636;21.095;241.547;711;47;1.215;121.569;..;44;542;286;1.080;17.658;..;15.377;..;20.453;..;10;..;129;5;..;..;174;73.783;45;38;7.222;34.925;17.787;..;174;883;6;1.185;34.583;..;..;182;15.187;25.521
1990;1990005;Less developed regions, excluding least developed countries;;934;;27.448.095;401.994;1.174.731;3.013.479;1.024;25.021;470;21;20.494;718;3.970;104.776;129.771;3.235;26.392;17.714;325.806;920;5.882;2.220.300;2.608;106.682;13.255;2.130;80.558;73;5.599;87.429;3.370;5.117;104.812;1.680;7.436;255.128;425.191;1.044;164;51.533;14.790;28.607;754;53;5.042;63.384;67;142.702;1.180.087;17.033;39.710;343.157;4.598;4.656;28;11.742;3.851;1.774;29.501;1.546;5.480;4.822;12.580;44.716;3.645;355;10.696;45.248;24.208;374.609;383.059;13.858;3.790;2.108;56.929;2;12;1.894;2.232;138.770;1.563;1.367;703;5.005;63.533;422.809;96.626;36;78.781;326;10.613;3.157;661;51.127;62.271;718;14.009;84.245;13;23.717;14.798;46;1.961.149;492.064;52.845;590.159;4.422;..;61.759;269.639;8.119;77.251;105.006;78.807;6.239;1.000;28.433;21.405;93.514;7.936;51.681;43.756;9.727;23.196;66;16.693;236;2.553;32.936;147.305;354;203.403;144;151;5.274;3.413;3.758;849;24.031;2.367;158;79;124;1.061;89.968;332.275;166.436;4.650;16;351.520;32.079;1.327;7.867;128.934;29.496;75.916;19;1.183;1.868;5.787;1.178.463;1.583;22.065;59;157.753;38.043;357.097;101.491;181.069;9.478;5.749;112.325;31.377;1.005;82.845;2.857.946;3.458;242;5.816;6.438;23;10.140;7.356;7;2.553;35.610;11.810;1.977;103;1.382;28.465;237;255;1.059;449;10.312;30.501;6.601;263.469;315.506;906.816;123.204;9.304;9.268;4.190;17.604;214.957;12.874;25.484;38.047;262;69.886;80;1.230;7.672;24.736;41.453;5.963;1.191;352;45.174;483.995;32.423;161.973;31.892;399.467;1.156;90.636;184.777;1.852;35.491;38.988;2.679;75.516;160.824;13.947;39.466
1990;1990006;High-income countries;e;1503;;36.450.724;560.571;1.734.535;97.474;42.266;375.784;34;2.005;86.410;658;10.857;160.453;37.179;2.870;141.111;253.472;16.277;14.108;1.229;231.790;43.733;212.647;196.305;18.977;5.951;36.958;164;25.481;242.658;1.222;176.790;1.703;3.283;50.751;2.409;1.761;43.270;122.147;24.909;609.895;1.597;146;4.357;9.374;9.907;102.481;1.622.567;275.790;41.766;211.427;9.641;25.812;9.085;29.040;24.703;179.640;415.454;19.270;77.838;134.381;2.401;28.043;105.972;1.622;17.505;244.054;85.260;388.816;250.709;3.957;15.334;17.934;99.664;4.532;110;44.311;145.730;499.255;36;1.515;4.385;4.042;40.739;1.291.107;53.029;6.290;396.173;5.413;22.866;106;637;119.692;5.883;6.340;115.227;154.508;18;66.678;171.502;8.944;1.164.589;539.314;237.699;117.223;500.089;5.637;76.122;1.373.772;318.290;233.762;81.720;29.928;75.492;545;14.414;3.821;124.854;46.213;186.131;190;8.236;20.814;1.918;112.201;13.811;24.856;5.570;226.153;73;17.821;53.806;666;164;3.859;53.901;..;2.015.051;3.738;1.940;1.641;26.488;3.742;674.573;40.985;52.631;606;248;49.138;339.094;1.649;184.942;93.760;1.291;59.219;3.011;1.140;74.293;284;452.046;1.427;47.230;880;9.064;129.669;1.116.578;748.798;727.966;618.322;506;700.946;31.132;61;419.032;934.017;3.099;256;9.552;9.967;222;18.630;30.899;824;3.109;18.436;35.868;312.018;15.156;8.329;52.416;6.863;64.095;28.608;585;33.538;121.117;1.860;520.452;263.745;26.116;97.217;83.216;281;114.983;162.837;194.130;4.753;176.196;149.257;5.078;7.872;768;15.229;105.320;177.014;1.189.294;21.236;1.305;605;34.681;553.801;21.617;1.786.609;29.620;628.061;821;32.754;33.135;2.068;69.885;508.076;2.814;12;154.903;12.865;21.147
1990;1990007;Middle-income countries;e;1517;;34.222.945;447.988;1.066.306;2.965.660;28.168;15.403;958;18;82.749;240;812;65.957;425.620;570;21.614;17.720;850.600;419;5.471;2.056.475;934;739.572;11.280;2.047;80.979;42;5.599;83.749;192.546;4.298;93.563;51;7.435;264.059;425.458;1.123;3.831;58.047;15.315;19.564;563;35;13.807;153.932;65;140.605;386.081;3.211;5.400;338.228;237;5.191;26;11.251;4.012;32.108;20.006;221;5.794;12.741;17.409;71.333;4.265;354;337;13.994;22.918;110.092;382.666;14.055;32.603;41.665;507.299;..;9;2.173;3.080;58.290;486;..;748;5.006;433.153;480.926;97.065;33;102.527;323;777;57;45;50.811;64.261;1.340;6.164;66.581;..;22.981;23.612;58;1.424.715;144.776;30.781;534.518;4.172;..;65.007;262.776;2.036;73.427;44.773;1.515.481;9.530;1.571;21.907;266.138;119.925;68.997;26.510;43.751;9.725;14.727;64;76.266;283;464;10.123;59.778;421;208.103;436;54;162;3.338;3.297;..;21.580;41;254;10.884;12.698;40;9.226;141.835;256.561;5.954;538;309.621;22.677;164;5.821;128.494;29.595;86.556;15;181;4.353;5.800;913.685;162;20.919;621;157.243;33.716;77.340;67.298;180.069;6.791;5.670;105.393;304.015;525;17.029;6.207.891;3.571;229;125;505;23;477;7.295;22;4.050;29.939;55.069;21.409;102;1.382;29.359;82;3.256;22.970;493;71.481;26.206;4.742;237.247;162.970;898.639;39.878;757;9.295;3.591;16.154;71.682;250.125;37.369;37.332;262;69.961;80;1.221;4.559;3.060;33.100;111.307;..;522;82.567;2.358.779;13.229;121.039;35.104;235.014;217;87.954;709.155;273;31.525;91.821;6;75.572;10.228;6.499;57.528
1990;1990008;Upper-middle-income countries;e;1502;;16.462.057;111.258;387.980;1.349.729;27.913;2.513;950;17;14.258;240;786;54.128;394.168;567;10.094;17.084;508.940;396;825;5.585;899;452.947;10.247;975;8.349;42;1;83.586;192.365;3.880;87.446;51;1.620;262.925;1.206;1.071;61;38.019;9.187;13.386;556;3;107;941;65;137.610;108.247;3.107;5.400;336.866;187;4.242;26;6.512;1.096;32.076;19.043;167;5.734;12.230;16.024;7.809;3.891;262;336;13.831;22.392;34.795;184.408;13.647;869;34.252;2.901;..;9;422;2.771;34.033;477;..;193;74;380.009;445.125;3.299;30;98.311;139;777;57;2;44.140;690;206;6.163;66.550;..;5.060;23.097;56;35.110;103.199;20.015;517.572;3.981;..;6.387;257.847;2.007;61.233;10.240;1.260.250;2.050;1.050;3.501;228.889;90.165;55.234;20.458;43.634;214;1.622;63;55.985;279;463;3.466;6.209;95;6.420;436;..;162;147;2.047;..;11.302;41;219;10.859;12.698;40;4.118;100.283;93.331;4.395;16;10.311;21.441;..;4.271;55.707;38;7.334;15;137;2.282;635;10.139;..;20.102;53;156.597;30.047;72.008;57.609;176.609;6.612;425;99.213;192.900;525;13.109;1.945.661;1.639;229;125;505;23;477;7.289;22;1.223;9.491;2.513;21.379;96;332;17.332;67;3.205;22.970;314;4.312;9.245;2.221;233.246;12.855;302.663;23.896;744;9.268;3.162;14.800;37.715;222.316;37.153;20.583;..;3.585;80;1.189;4.557;1.252;29.140;89.577;..;348;2.819;2.036.230;2.368;96.536;1.265;182.262;187;87.642;603.941;181;30.948;38.115;6;75.572;6.982;5.787;39.550
1990;1990009;Lower-middle-income countries;e;1501;;17.760.888;336.730;678.326;1.615.931;255;12.890;8;1;68.491;..;26;11.829;31.452;3;11.520;636;341.660;23;4.646;2.050.890;35;286.625;1.033;1.072;72.630;..;5.598;163;181;418;6.117;..;5.815;1.134;424.252;52;3.770;20.028;6.128;6.178;7;32;13.700;152.991;..;2.995;277.834;104;..;1.362;50;949;..;4.739;2.916;32;963;54;60;511;1.385;63.524;374;92;1;163;526;75.297;198.258;408;31.734;7.413;504.398;..;..;1.751;309;24.257;9;..;555;4.932;53.144;35.801;93.766;3;4.216;184;..;..;43;6.671;63.571;1.134;1;31;..;17.921;515;2;1.389.605;41.577;10.766;16.946;191;..;58.620;4.929;29;12.194;34.533;255.231;7.480;521;18.406;37.249;29.760;13.763;6.052;117;9.511;13.105;1;20.281;4;1;6.657;53.569;326;201.683;..;54;..;3.191;1.250;..;10.278;..;35;25;..;..;5.108;41.552;163.230;1.559;522;299.310;1.236;164;1.550;72.787;29.557;79.222;..;44;2.071;5.165;903.546;162;817;568;646;3.669;5.332;9.689;3.460;179;5.245;6.180;111.115;..;3.920;4.262.230;1.932;..;..;..;..;..;6;..;2.827;20.448;52.556;30;6;1.050;12.027;15;51;..;179;67.169;16.961;2.521;4.001;150.115;595.976;15.982;13;27;429;1.354;33.967;27.809;216;16.749;262;66.376;..;32;2;1.808;3.960;21.730;..;174;79.748;322.549;10.861;24.503;33.839;52.752;30;312;105.214;92;577;53.706;..;..;3.246;712;17.978
1990;1990010;Low-income countries;e;1500;;4.269.524;69.888;211.569;..;..;2.471;..;..;243.387;..;..;199;..;..;43;35;..;..;..;551;..;..;440;..;19.913;..;8.740;..;..;1.290;608;..;..;..;19.149;160.291;1.775;..;15.304;809;..;..;3.930;5.454;..;119;22.379;46;..;407;3.772;12.098;..;168;154.144;..;562;..;2;..;11;102.923;80;429;..;1.061;..;21;..;20;33.056;..;225.837;..;..;..;..;18.322;..;..;2.414;6.388;..;2.066;34.672;..;20;..;..;..;..;..;80.782;19.931;..;..;..;..;..;..;272.409;673;..;..;1;..;..;673;..;223;..;..;38.561;..;..;..;..;..;2.874;1.962;238.230;545;..;..;..;5.803;33.843;62;..;61.042;..;..;..;51.968;43;..;175;..;..;..;..;..;1.769;834.270;..;146;..;..;247;..;..;..;17.066;45.938;..;..;..;..;5.623;..;..;..;..;186;812;..;2.884;843;..;2.993;..;450;..;694;265.618;..;..;..;..;..;..;..;57;954;47.692;..;85;19.860;..;..;..;7;..;293.809;20.271;241.547;672;130;..;113.263;..;17;537;284;7;17.658;..;152;..;20.376;..;..;..;..;5;..;..;..;36.434;45;..;10.288;31.815;4.449;..;174;883;..;1.185;287;..;..;32;22.796;7.551
